occupation_title,rapids_code,onet_soc_code,term_length_hours,type_of_training,bulletin
AUDIO OPERATOR,879,27-4012.00,4000,Time-Based,
AUDIO-VIDEO REPAIRER,880,49-2097.00,4000,Time-Based,
DIGITAL VIDEO EDITOR (Existing Title:  Film or Video Tape Editor),2070CB,27-4032.00,*CB,Competency-Based,18-30
FILM DEVELOPER,921,51-9151.00,6000,Time-Based,
FILM LAB TECHNICIAN,907,51-9151.00,6000,Time-Based,
FILM LAB TECHNICIAN I,908,51-9151.00,6000,Time-Based,
FILM OR VIDEOTAPE EDITOR,127,27-4032.00,8000,Time-Based,
LIGHT TECHNICIAN,276,27-4011.00,8000,Time-Based,
MULTIMEDIA PRODUCER  (Existing Title: TV Director),0970CB,27-2012.01,*CB,Competency-Based,18-29
MUSICIAN,2080CB,27-2042.02,*CB,Competency-Based,19-24
PRODUCTION TECHNOLOGIST,1027CB,51-2092.00,*CB,Competency-Based,99-10
RECORDING ENGINEER,926,27-4014.00,4000,Time-Based,
REPRODUCTION TECHNICIAN,92,51-9151.00,2000,Time-Based,79-63
SOUND MIXER,527,27-4014.00,8000,Time-Based,
SOUND TECHNICIAN,528,49-2022.00,6000,Time-Based,
STAGE TECHNICIAN,521,27-4011.00,6000,Time-Based,88-14
